ItemName,Enabled,Website
127 Brewing,Y,https://www.facebook.com/127brewing
5 Lakes Brewing Co.,Y,http://5lakesbrewing.com/
51st State Brewing Co.,Y,https://www.51ststatebrewingco.com/
Aberrant Ales,Y,https://www.aberrantales.com/home
Albion Malleable Brewing Company,Y,https://www.albionmalleable.com/
Alma Brewing Co.,Y,https://www.almabrewing.com/
Alpha Michigan Brewing Co.,Y,https://alphamibeer.com/
American Harvest Brewpub at Schoolcraft College,Y,http://www.schoolcraft.edu/brewpub/american-harvest-brewpub
Arbor Brewing Co. Microbrewery,Y,http://www.arborbrewing.com/brewery/
Arbor Brewing Company,Y,http://www.arborbrewing.com/
Arclight Brewing Co.,Y,http://www.arclightbrewing.com/
Arvon Brewing Co.,Y,https://www.arvonbrewingco.com/
Ascension Brewing Co.,Y,http://ascension.beer/
Atwater Brewery,Y,http://www.atwaterbeer.com/
Atwater Grand Rapids,Y,http://www.atwaterbeer.com/locations/atwater-grand-rapids/#
Atwater in the Park,Y,http://www.atwaterbeer.com/
Austin Brothers Beer Co.,Y,https://www.facebook.com/austinbrosbeerco/
B.O.B.'s Brewery,Y,http://thebobsbrewery.thebob.com/
BAD Brewing Company,Y,http://www.badbrewing.com
Baffin Brewing Co.,Y,http://www.baffinbrewing.com/
